NGO_name,CCReg,Contact_no,Contact,Address,longitude,latitude
Biswa Gouri Charitable Trust,6683,"28465336 , 28465336 ",,"Shaneshwara Temple, Billishivalle, Kothanur,Bangalore, Karnataka 560077",77.64832,13.06423
Blessings Life Foundation Trust,554,"9444142914 , 281093 ",,"Jacob Memorial Community college campus, Balmore Road, Erachakulam, Nagercoil, Kanyakumari, Tamil Nadu 629902",77.43227,8.17899
Blind People's Association (India),331,"26304070 , 26300106 ",Nandini Rawal ,"Surdas Marg, Jagdish Patel Chowk, Vastrapur, Ahmedabad, Gujarat 380015",72.53047,23.03805
Blind Welfare Council Dahod,332,"221367 , 243389 ",Abbas Kharodawala ,"Mandaav Road, Panchmukhi Hanuman Temple, Dahod, Gujarat 389151",74.25394,22.84476
BNM - TSK TRUST,8023,"8883333113 , 7094991117 ",Kirupakar .S ,"TSM Colony, K.K.Pudur Road, Kovilmedu, Coimbatore, Tamil Nadu 641025",76.9319,11.03325
Brahmi Educational and Cultural Trust,6703,"9945013193 , 9448584569 ",Dr Channa Raju ,"Anjana Vidya Kendra, Desapande Guttahalli, Tattanur Village, Kalkunte Post, Bengaluru, Karnataka 560067",77.72343,13.02051
BRO SIGA ANIMATION CENTRE,877,"26731284 , 9940173901 ",S.Sumithra Devi ,"B. Kalyanapuram, S.M.Nagar main road, Vyasarpadi, Chennai, Tamil Nadu 600039",80.26569,13.11412
BUILDING DREAMS FOUNDATION,10683,"8384897524 , 6399463996 ",Surbhi Jaiswal ,"Thakurpur Road, Premnagar, Dehradun, Uttarakhand 248007",77.95048,30.33414
"Bureau of Obligate and Accompainer for Rural
Development",4430,"9835252736 , 9631369572 ",Ms. Sangita Kumari ,"Shahjahanpur, Nagarnousha, Patna, Bihar 801305",85.30453,25.40251
Calcutta Rescue,3554,22175675 ,Jaydeep Chakraborty ,"85 Collin Street, Kolkata, West Bengal 700016",88.35621,22.55525
Cancer Foundation of India,4524,"24053131 , 8961313131 ",,"Selimpur Road, Kolkata, West Bengal 700031",88.3689,22.50495
CARE VILLAGE FOUNDATION (CVF),7698,9350004647 ,RUPA SINGH ,"New Highway Apartment Loknayakpuram, Mundaka, Delhi 110041",77.03195,28.69189
Catalysts for Social Action (CSA),333,8291890505 ,Kinjal Mehta ,"Bhaveshwar Arcade Annex, Nityanand Nagar, LBS Marg, Ghatkopar (West), Mumbai, Maharashtra 400086",72.9067,19.09252
"Center of Needy, Creative, Experiment &
Participatory Techniques Society",4149,"9425350272 , 9754570864 ",,"Ahilya Nagar Main, Annapurna Road, Indore, Madhya Pradesh 452009",75.83469,22.6802
Centre for Development,1060,"2290023 , 9431929367 ",,"Gayatri Sadan, Tapudana, Hatia, Ranchi, Jharkhand 834003",85.31565,23.29685
Centre for Development Service,7223,9937683561 ,,"Prachi Vihar, Palasuni, Bhubaneshwar, Khordha, Odisha 751025",85.86757,20.29848
"Centre for Documentation, Information, Research, Education, Communication & Training (Centre
Direct)",789,"2540599 , 2265938 ",,"Srikrishanapuri, Patna, Bihar 800001",85.11482,25.61546
Centre for Health and Social Justice,1058,"26536041 , 26511425 ",Mr. Satish Kumar Singh ,"G Block, Saket, New Delhi, Delhi 110017",77.21131,28.52197
Centre for Integrated Rural Development,12307,9791473649 ,,"Salai Street, Vedasandur, Dindigul, Tamil Nadu 624710",77.97789,10.58353
Centre for Promotion of Social Concerns,7314,2539520 ,Henri Tiphagne ,"Besant Road, Chokkikulam, Madurai, Tamil Nadu 625002",78.1316,9.94012
Centre for Rural Education and Development Action,6123,"220285 , 9415206651 ",Noorul Islam ,"Awas Vikas Colony, Khushbu Child Hospital, Mirzapur, Uttar Pradesh 231001",82.58082,25.14862
"CENTRE FOR SOCIAL AND BEHAVIOUR CHANGE
COMMUNICATION",11005,"26152403 , 9820441866 ",Priya Subnis Arte ,"Nehru Road, Santa Cruz East, Mumbai, Maharashtra 400055",72.84424,19.08062
"CENTRE FOR THE SUSTAINABLE USE OF NATURAL
AND SOCIAL RESOURCES(CSNR)",11696,9437385757 ,,"NANDAN ENCLAVE, NANDAN VIHAR, Bhubaneswar, Odisha 751024",85.83196,20.36305
Centre for Womens Development And Research,1227,24455868 ,V.Balakrishnan ,"Vasanth Apartments, Kuppam Beach Road, Thiruvanmiyur, Chennai, Tamil Nadu 600041",80.26438,12.9845
"Chaitanya Educational and Rural Development
Society",679,"252333 , 9666159615 ",Narra Srinivasa Rao ,"Pandaripuram, Chilakaluripet, Guntur, Andhra Pradesh 522616",80.18623,16.0805
Chaitanya Grameena Abhivrudhi Shikshana Samsthe,12734,9448981715 ,M Thippeswamy ,"Errithatha Colony, Durgamma Temple, Toranagallu, Bellary, Karnataka 583123",76.65825,15.21505
"CHAITANYA RURAL DEVELOPMENT SOCIETY,
SHIMOGA",12723,9986730159 ,Umashankara M ,"SONA Complex, Kuvempu Road, Shivamogga, Karnataka 577201",75.57478,13.94005
CHAK KUMAR ASSOCIATION FOR SOCIAL SERVICE,4342,"243600 , 9434958200 ",TRIDIB DAS BERA ,"CHAK KUMAR, DEBRA BAZAR, West Medinipur, Bengal 721126",87.56015,22.3952
CHANDRAMOHAN FOUNDATION,10187,"61246131 , 61246131 ",Mayuri Mehrotra ,"Peninsula Business Park, Lower Parel, Mumbai, Maharashtra 400013",72.82851,18.99817
Change Initiatives,12889,0983100730 ,,"Salt lake City, Kolkata, West Bengal 700106",88.41681,22.57625
"CHIKMAGALORE MULTI PURPOSE SOCIAL SERVICE
SOCIETY",10569,9448141075 ,,"Arsikere road, Hassan, Karnataka 573201",76.12354,13.00994
Child in need Institute,337,"24978192 , 24978241 ",Dr. Indrani Bhattacharyya ,"Daulatpur, Pailan, 24 Parganas (South), Kolkata, South Parganas, West Bengal 700104",88.30493,22.44496
Child Survival India,338,"27844740 , 43046996 ",Prabhat Kumar Singh ,"Kalka Ji, New Delhi 110019",77.25813,28.53839
Childline India Foundation,339,68251098 ,Vikas Puthran ,"Ratan Central, Dr.Babasaheb Ambedkar Road, Parel East, Mumbai, Maharashtra 400012",72.84067,19.00639
CHILDREN OF INDIA FOUNDATION,12813,9164050000 ,Mahima Sashank ,"Hutchins Road, St. Thomas Town, Bangalore, Karnataka 560084",77.62231,13.00569
Children Toy Foundation,102,"22842517 , 9167769557 ",Devendre Shivlal Desai ,"Gandhi Road, Fort, Mumbai, Maharashtra 400001",72.8299,18.94054
Children's Lovecastles Trust,4164,"65967021 , 9008174000 ",Omar Wani ,"Jakkur Circle, Bangalore, Karnataka 560064",77.60478,13.07558
"Citizen Development Centre (CD for Leprosy Persons,
Handicapped & Women Welfare)",2657,"9962298833 , 26571029 ",,"Old Post office Raod, Venkatapuram, Ambattur, Tiruvallur, Chennai, Tamil Nadu 600053",80.15427,13.12037
CITIZENS ASSOCIATION FOR CHILD RIGHTS,9161,"9987598509 , 9821112418 ",,"Prabhav Society, Santa Cruz (E), Mumbai, Maharashtra 400055",72.84148,19.07715
CLOTHES BOX FOUNDATION,10702,7838371356 ,,"Paras Trade Centre, Gwal Pahari, Gurgaon, Gurugram, Haryana 122003",77.13363,28.43594
CMCA,996,"9880885000 , 25538585 ",Nagaveni ,"3rd Cross, 8th 'A' Main, 4th Block, Bangalore, Karnataka 560034",77.62621,12.93513
Community Action for Rural Development,342,9442339669 ,P Vedachalam ,"Samathuvapuram, Pulivalam, Thirumayam, Pudukkottai, Tamil Nadu 622507",78.75097,10.24861
